Title,Rating,Release Date,Timestamp
牯岭街少年杀人事件,8.9,No release date,2024-09-11T14:35:53.275820
恐怖游轮,8.5,No release date,2024-09-11T14:35:53.275820
爆裂鼓手,8.7,No release date,2024-09-11T14:35:53.275820
魔女宅急便,8.7,No release date,2024-09-11T14:35:53.275820
东京教父,9.0,No release date,2024-09-11T14:35:53.275820
大佛普拉斯,8.7,No release date,2024-09-11T14:35:53.275820
遗愿清单,8.7,No release date,2024-09-11T14:35:53.275820
贫民窟的百万富翁,8.6,No release date,2024-09-11T14:35:53.275820
末路狂花,8.9,No release date,2024-09-11T14:35:53.276817
东邪西毒,8.6,No release date,2024-09-11T14:35:54.562172
你看起来好像很好吃,8.9,No release date,2024-09-11T14:35:54.562172
可可西里,8.9,No release date,2024-09-11T14:35:54.562172
源代码,8.5,No release date,2024-09-11T14:35:54.562172
疯狂的麦克斯4：狂暴之路,8.7,No release date,2024-09-11T14:35:54.562172
城市之光,9.3,No release date,2024-09-11T14:35:54.562172
海边的曼彻斯特,8.6,No release date,2024-09-11T14:35:54.562172
黑天鹅,8.6,No release date,2024-09-11T14:35:54.563171
波西米亚狂想曲,8.6,No release date,2024-09-11T14:35:54.563171
真爱至上,8.5,No release date,2024-09-11T14:35:54.563171
高山下的花环,9.5,No release date,2024-09-11T14:35:54.563171
芙蓉镇,9.3,No release date,2024-09-11T14:35:54.563171
爱乐之城,8.4,No release date,2024-09-11T14:35:54.563171
青蛇,8.6,No release date,2024-09-11T14:35:54.563171
雨人,8.7,No release date,2024-09-11T14:35:54.563171
初恋这件小事,8.5,No release date,2024-09-11T14:35:54.564161
终结者2：审判日,8.8,No release date,2024-09-11T14:35:54.564161
人工智能,8.7,No release date,2024-09-11T14:35:54.564161
虎口脱险,8.9,No release date,2024-09-11T14:35:54.564161
花束般的恋爱,8.6,No release date,2024-09-11T14:35:54.564161
恋恋笔记本,8.5,No release date,2024-09-11T14:35:54.564161
无耻混蛋,8.7,No release date,2024-09-11T14:35:54.564161
新龙门客栈,8.7,No release date,2024-09-11T14:35:54.565156
罗生门,8.8,No release date,2024-09-11T14:35:54.565156
崖上的波妞,8.6,No release date,2024-09-11T14:35:54.565156
千钧一发,8.8,No release date,2024-09-11T14:35:55.940044
哈利·波特与死亡圣器(上),8.6,No release date,2024-09-11T14:35:55.941041
彗星来的那一夜,8.6,No release date,2024-09-11T14:35:55.941041
白日梦想家,8.6,No release date,2024-09-11T14:35:55.941041
萤火虫之墓,8.7,No release date,2024-09-11T14:35:55.941041
黑客帝国2：重装上阵,8.7,No release date,2024-09-11T14:35:55.941041
奇迹男孩,8.6,No release date,2024-09-11T14:35:55.942038
火星救援,8.5,No release date,2024-09-11T14:35:55.942038
大红灯笼高高挂,8.8,No release date,2024-09-11T14:35:55.942038
二十二,8.7,No release date,2024-09-11T14:35:55.942038
战争之王,8.7,No release date,2024-09-11T14:35:55.942038
哈利·波特与凤凰社,8.5,No release date,2024-09-11T14:35:55.943035
血钻,8.7,No release date,2024-09-11T14:35:55.943035
步履不停,8.8,No release date,2024-09-11T14:35:55.943035
千年女优,8.8,No release date,2024-09-11T14:35:55.943035
谍影重重2,8.7,No release date,2024-09-11T14:35:55.944032
房间,8.8,No release date,2024-09-11T14:35:55.944032
魂断蓝桥,8.8,No release date,2024-09-11T14:35:55.944032
蜘蛛侠：平行宇宙,8.6,No release date,2024-09-11T14:35:55.944032
弱点,8.7,No release date,2024-09-11T14:35:55.944032
谍影重重,8.6,No release date,2024-09-11T14:35:55.945028
朗读者,8.6,No release date,2024-09-11T14:35:55.945028
阿飞正传,8.5,No release date,2024-09-11T14:35:55.945028
隐藏人物,8.9,No release date,2024-09-11T14:35:55.945028
冰雪奇缘,8.5,No release date,2024-09-11T14:35:55.946024
